,NAME,ASIAN,BLACK,HISPANIC,INDIAN,MULTI,WHITE,ADDRESS,BLACKPROP,HISPANICPROP,WHITEPROP,R,G,B,Longitudes,Latitudes
0,ADAMS MIDDLE SCHOOL,12,201,363,1,37,157,"10201 N Boulevard, Tampa, FL 33612",0.27877947295423,0.503467406380028,0.217753120665742,71.08876560332871,55.52704576976421,128.38418862690702,-82.4605024,28.0399566
1,ADVANTAGE ELEMENTARY ACADEMY,2,27,182,0,7,83,350 W Prosser Dr,0.09246575342465801,0.6232876712328771,0.284246575342466,23.578767123287697,72.4828767123288,158.938356164384,-82.12417099999999,28.0014839
2,ADVANTAGE MIDDLE ACADEMY,0,14,81,0,4,43,350 W Prosser Dr,0.101449275362319,0.58695652173913,0.31159420289855105,25.8695652173913,79.4565217391304,149.673913043478,-82.12417099999999,28.0014839
3,ALAFIA ELEMENTARY,22,42,133,3,51,380,"3535 Culbreath Rd, FL",0.075675675675676,0.23963963963964,0.684684684684685,19.297297297297302,174.59459459459498,61.1081081081081,-82.2491764,27.8876226
4,ALEXANDER ELEMENTARY,8,13,550,0,13,29,"5602 N Lois Ave, Tampa, FL 33614",0.021959459459460002,0.9290540540540541,0.048986486486487,5.59966216216216,12.4915540540541,236.908783783784,-82.51430789999999,27.9979993
5,ALONSO HIGH SCHOOL,108,164,1361,12,120,742,"8302 Montague St, FL",0.072342302602559,0.600352889280988,0.327304808116453,18.447287163652398,83.46272606969559,153.089986766652,-82.6042185,28.0221064
6,AMI KIDS YES,0,23,4,0,0,2,4337 Saffold Rd,0.793103448275862,0.137931034482759,0.06896551724137899,202.241379310345,17.5862068965517,35.1724137931034,-82.3217947,27.6541977
7,ANDERSON ELEMENTARY,22,45,89,0,63,181,"3910 W Fair Oaks Ave, Tampa, FL 33611",0.14285714285714302,0.28253968253968204,0.5746031746031751,36.4285714285714,146.52380952381,72.0476190476191,-82.50935199999999,27.899007
8,APOLLO BEACH ELEMENTARY,17,28,138,2,33,460,"501 Apollo Beach Blvd, Apollo Beach, FL 33572",0.044728434504792004,0.22044728434504798,0.73482428115016,11.405750798722,187.380191693291,56.21405750798721,-82.4020757,27.7752372
9,ARMWOOD HIGH SCHOOL,28,764,580,11,111,639,"12000 US-92, Seffner, FL 33584",0.385274836106909,0.292486132123046,0.322239031770045,98.2450832072617,82.17095310136159,74.58396369137671,-82.2953951,28.0056062
